ASIN,Category,Product Link,No of Seller,Rank,Rating,Reviews Count,Price,Quantity
B08BNVQDWT,Electronics,https://www.amazon.com/gp/offer-listing/B08BNVQDWT/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,92,4.6,"43,363",$16.30 ,270
B072M34RQC,Electronics,https://www.amazon.com/gp/offer-listing/B072M34RQC/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,25,93,4.7,"23,209",$16.70 ,273
B01171X0UW,Electronics,https://www.amazon.com/gp/offer-listing/B01171X0UW/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,17,94,4.5,"39,606",$16.80 ,276
B08J5Q255V,Electronics,https://www.amazon.com/gp/offer-listing/B08J5Q255V/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,5,95,4.9,"44,087",$16.95 ,279
B0758L64L9,Electronics,https://www.amazon.com/gp/offer-listing/B0758L64L9/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,96,4.6,"23,741",$16.99 ,282
B08N5LNQCX,Electronics,https://www.amazon.com/gp/offer-listing/B08N5LNQCX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,5,97,4.8,"6,599",$16.99 ,285
B079RKX5ZL,Electronics,https://www.amazon.com/gp/offer-listing/B079RKX5ZL/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,12,98,4.8,"21,383",$16.99 ,288
B08F58MXQG,Electronics,https://www.amazon.com/gp/offer-listing/B08F58MXQG/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,99,4.8,"4,617",$16.99 ,291
B08DHDS4T3,Electronics,https://www.amazon.com/gp/offer-listing/B08DHDS4T3/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,14,100,4.7,"9,587",$16.99 ,294
B095NWYQBC,Electronics,https://www.amazon.com/gp/offer-listing/B095NWYQBC/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,51,5,4,$16.99 ,297
B086VRY8GZ,Electronics,https://www.amazon.com/gp/offer-listing/B086VRY8GZ/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,52,4.6,"5,826",$17.75 ,300
B071FXZBMV,Electronics,https://www.amazon.com/gp/offer-listing/B071FXZBMV/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,53,4.5,"33,856",$17.90 ,303
B07FKR6KXF,Electronics,https://www.amazon.com/gp/offer-listing/B07FKR6KXF/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,54,4.4,"193,908",$17.99 ,306
B084J4KNDS,Electronics,https://www.amazon.com/gp/offer-listing/B084J4KNDS/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,55,4.7,"267,821",$17.99 ,309
B08F6B347L,Electronics,https://www.amazon.com/gp/offer-listing/B08F6B347L/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,56,4.5,"1,228",$17.99 ,310
B087RKKXM5,Electronics,https://www.amazon.com/gp/offer-listing/B087RKKXM5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,57,4.8,"11,084",$18.00 ,311
B07PF1Y28C,Electronics,https://www.amazon.com/gp/offer-listing/B07PF1Y28C/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,58,4.7,"222,209",$18.00 ,312
B08DFCWVZ4,Electronics,https://www.amazon.com/gp/offer-listing/B08DFCWVZ4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,10,59,4.4,"12,973",$18.35 ,313
B086VRR9K9,Electronics,https://www.amazon.com/gp/offer-listing/B086VRR9K9/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,60,4.6,"5,573",$18.80 ,314
B07KGVB6D6,Electronics,https://www.amazon.com/gp/offer-listing/B07KGVB6D6/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,61,4.6,"47,546",$18.88 ,315
B081RJ8DW1,Electronics,https://www.amazon.com/gp/offer-listing/B081RJ8DW1/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,10,62,4.4,"21,080",$18.88 ,316
B08YKGZF7P,Electronics,https://www.amazon.com/gp/offer-listing/B08YKGZF7P/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,3,63,4.2,35,$18.99 ,317
B08ZN8JP3G,Electronics,https://www.amazon.com/gp/offer-listing/B08ZN8JP3G/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,64,4.4,"54,100",$18.99 ,318
B07HZJ64WD,Electronics,https://www.amazon.com/gp/offer-listing/B07HZJ64WD/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,65,4.6,"395,831",$18.99 ,319
B0148NNKTC,Electronics,https://www.amazon.com/gp/offer-listing/B0148NNKTC/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,16,66,4.7,"42,694",$18.99 ,342
B086DKGCFP,Electronics,https://www.amazon.com/gp/offer-listing/B086DKGCFP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,67,4.4,"54,100",$18.99 ,345
B08F6DWKQP,Electronics,https://www.amazon.com/gp/offer-listing/B08F6DWKQP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,68,4.5,179,$18.99 ,348
B07978J597,Electronics,https://www.amazon.com/gp/offer-listing/B07978J597/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,69,4.6,"36,144",$18.99 ,351
B07WGL828F,Electronics,https://www.amazon.com/gp/offer-listing/B07WGL828F/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,70,4.6,"100,279",$18.99 ,354
B08R6S1M1K,Electronics,https://www.amazon.com/gp/offer-listing/B08R6S1M1K/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,3,71,4.7,"1,450",$19.60 ,157
B084DCJKSL,Electronics,https://www.amazon.com/gp/offer-listing/B084DCJKSL/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,72,4.7,314,$19.95 ,157
B07TWFVDWT,Electronics,https://www.amazon.com/gp/offer-listing/B07TWFVDWT/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,37,73,4.6,"95,064",$19.97 ,157
B07MVZZV3G,Electronics,https://www.amazon.com/gp/offer-listing/B07MVZZV3G/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,7,74,4.8,"39,828",$19.97 ,157
B08F6GPQQ7,,https://www.amazon.com/gp/offer-listing/B08F6GPQQ7/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,75,4.5,179,$19.99 ,157
